                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2736,                 2.1769,                 1.0944,                 0.7889,                0.73277,                0.78312,                0.47319,                 1.0435,                 1.1449,                  1.012,                0.07019,              0.0033122,              0.0033122
                      1,                 1.2346,                  1.228,                 1.0993,                0.75487,                 0.7535,                0.77732,                0.46231,                  1.079,                 1.1063,                 1.0535,               0.040124,              0.0065798,              0.0065798
                      2,                 1.3228,                  1.223,                  1.138,                0.81522,                0.57703,                0.73664,                0.43293,                 1.1584,                 1.2204,                 1.1104,              0.0099923,              0.0097813,              0.0097813
                      3,                 1.3469,                 1.1884,                 1.1533,                0.69379,                 0.6537,                0.71263,                0.42984,                 1.1237,                 1.1272,                 1.0846,               0.009703,               0.009703,               0.009703
                      4,                  1.354,                 1.1555,                 1.1602,                0.81278,                0.65826,                0.76831,                0.46134,                 1.2271,                0.95404,                 1.1416,               0.009703,               0.009703,               0.009703
                      5,                  1.347,                 1.0945,                 1.1708,                0.77986,                0.73389,                0.81509,                0.49995,                 1.1514,                0.93518,                 1.1179,               0.009604,               0.009604,               0.009604
                      6,                 1.3355,                 1.0399,                 1.1459,                0.83429,                 0.7395,                0.81757,                0.47702,                 1.2081,                0.91075,                 1.1304,               0.009505,               0.009505,               0.009505
                      7,                  1.328,                0.98921,                 1.1685,                0.78471,                0.67787,                0.75299,                0.44179,                 1.2006,                0.96234,                 1.1373,               0.009406,               0.009406,               0.009406
                      8,                  1.253,                0.92308,                 1.1394,                 0.7357,                0.68347,                0.70614,                0.40487,                 1.2036,                 1.1358,                 1.1666,               0.009307,               0.009307,               0.009307
                      9,                 1.2882,                0.93504,                 1.1352,                0.86299,                0.68908,                0.82078,                0.50807,                 1.1252,                0.82067,                  1.117,               0.009208,               0.009208,               0.009208
                     10,                 1.2313,                0.89304,                 1.1229,                0.84447,                 0.7591,                0.83625,                 0.5331,                 1.0922,                  0.776,                 1.0872,               0.009109,               0.009109,               0.009109
